SKU,Category,Weight (lbs),Volume (cubic ft),Total Inventory Picks,7AM - 8AM,8AM - 9AM,9AM -10AM,10AM - 11AM,11AM - 12PM,12PM - 1PM,1PM - 2PM,2PM - 3PM,3PM - 4PM,4PM - 5PM,5PM - 6PM,6PM - 7PM,7PM - 8PM
70897,Home,26.44,17.36,121,8,9,11,10,10,16,25,17,12,3,0,0,0
13940,Electronics,11.1,2.57,275,112,65,46,27,19,4,2,0,0,0,0,0,0
44052,Hygiene,2.48,0.62,124,6,9,8,11,8,23,27,18,10,2,2,0,0
65796,Home,51.59,86.04,359,190,42,67,28,17,10,5,0,0,0,0,0,0
94236,Sports,17.96,1.58,285,167,40,55,12,7,1,3,0,0,0,0,0,0
39729,Office,3.2,1.68,279,5,26,44,30,17,25,25,21,24,18,16,20,8
69591,Clothing,0.63,6.44,196,0,0,0,0,4,6,18,39,27,32,53,11,6
70768,Medical,2.16,3.36,245,0,0,0,0,1,4,28,31,59,53,49,17,3
55894,Clothing,0.54,2.65,274,8,22,41,17,27,27,25,20,19,25,15,20,8
95487,Office,4.19,5.85,222,0,0,0,0,3,8,30,34,25,47,60,14,1
83939,Hygiene,2.34,0.42,366,172,91,52,29,11,8,3,0,0,0,0,0,0
78438,Clothing,0.47,5.12,487,32,63,77,103,59,54,52,29,11,7,0,0,0
17904,Home,62.19,20.96,145,9,12,12,16,19,23,15,17,16,3,3,0,0
70838,Home,36.55,5.72,239,6,23,45,19,16,15,18,16,20,22,15,18,6
61944,Medical,3.14,3.8,175,0,0,0,0,1,7,14,21,30,42,33,17,10
67846,Electronics,0.76,2.01,268,8,19,45,21,20,23,24,16,24,19,22,19,8
89281,Home,13.51,51.14,278,117,90,35,21,6,9,0,0,0,0,0,0,0
78360,Medical,2.57,2.17,446,30,46,59,88,71,67,31,24,20,8,2,0,0
55306,Medical,0.15,2.32,230,84,72,33,21,19,0,1,0,0,0,0,0,0
17419,Office,1.96,3.59,493,50,61,56,88,63,70,39,35,19,7,5,0,0
20457,Home,98.56,17.01,484,30,68,60,92,78,55,42,29,18,7,5,0,0
48998,Clothing,0.37,4.74,255,5,24,40,18,24,23,16,23,15,22,21,17,7
84464,Electronics,4.79,3.63,243,0,0,0,0,4,3,32,40,38,45,56,17,8
70997,Hygiene,2.67,0.44,212,98,41,41,18,11,2,1,0,0,0,0,0,0
26439,Hygiene,2.9,0.33,343,192,55,60,20,6,5,5,0,0,0,0,0,0
42064,Medical,0.61,1.63,197,0,0,0,0,5,7,29,22,54,41,23,12,4
57158,Clothing,0.56,4.14,375,182,98,47,30,9,5,4,0,0,0,0,0,0
25370,Sports,22.56,19.29,221,0,0,0,0,1,3,34,25,46,44,55,12,1
61094,Clothing,0.49,1.7,448,50,48,66,85,64,51,34,25,20,5,0,0,0
93811,Medical,1.5,3.21,267,7,29,45,17,29,16,18,19,23,22,18,17,7
12936,Electronics,2.19,2.13,117,2,8,14,10,14,10,16,25,14,2,2,0,0
46440,Office,7.51,6.15,284,144,70,34,27,5,2,2,0,0,0,0,0,0
95093,Electronics,11.92,1.55,229,0,0,0,0,4,2,32,37,59,48,25,15,7
98011,Home,28.15,48.22,274,133,46,65,19,8,1,2,0,0,0,0,0,0
82729,Electronics,9.79,0.78,258,4,15,47,29,21,15,19,22,22,19,22,19,4
20712,Electronics,13.32,2.38,317,163,65,47,27,5,5,5,0,0,0,0,0,0
48907,Office,6.15,2.84,191,0,0,0,0,0,4,10,38,42,33,48,13,3
92567,Electronics,3.35,0.45,464,43,55,62,91,54,63,34,34,19,8,1,0,0
82348,Hygiene,3.41,0.55,315,119,81,66,21,18,6,4,0,0,0,0,0,0
93901,Office,2.97,1.24,191,0,0,0,0,0,3,16,32,29,49,39,15,8
30556,Clothing,0.54,3.9,289,142,64,46,13,14,7,3,0,0,0,0,0,0
60202,Hygiene,0.44,0.76,483,49,64,80,105,58,41,36,22,13,10,5,0,0
12628,Clothing,0.47,5.86,123,3,7,13,12,20,10,27,13,11,5,2,0,0
56281,Office,4.92,2.46,238,4,15,45,17,24,18,22,18,15,15,18,20,7
23945,Hygiene,1.17,0.55,240,0,0,0,0,3,4,30,35,44,48,55,17,4
75664,Medical,2.66,1.83,197,0,0,0,0,2,9,18,24,45,53,28,17,1
16892,Home,6.07,60.48,115,3,11,13,12,13,19,13,15,9,4,3,0,0
87066,Office,8.28,4.89,239,0,0,0,0,2,7,22,26,50,46,58,18,10
28168,Home,39.73,62.37,179,0,0,0,0,1,6,29,35,28,36,27,14,3
66685,Electronics,14.72,2.79,96,2,6,7,9,9,15,20,18,7,2,1,0,0
87702,Sports,18.87,15.38,116,3,6,12,11,15,14,17,25,7,5,1,0,0
84390,Office,0.9,2.68,297,170,59,39,18,7,4,0,0,0,0,0,0,0
44997,Sports,6.11,12.39,343,184,75,39,29,10,6,0,0,0,0,0,0,0
